on x=-40..7,y=-3..49,z=-48..6
on x=-38..10,y=-11..37,z=-30..19
on x=-43..1,y=-16..30,z=-38..13
on x=-10..44,y=-8..46,z=-41..4
on x=-27..19,y=-2..45,z=-33..12
on x=-41..4,y=-18..32,z=-34..19
on x=-43..9,y=-20..27,z=-34..20
on x=-47..-2,y=-5..49,z=-20..32
on x=-20..33,y=-40..6,z=-16..33
on x=-25..24,y=-47..-2,z=-46..6
off x=-28..-9,y=-6..4,z=22..37
on x=-34..14,y=-16..32,z=-43..3
off x=-36..-18,y=-44..-33,z=5..16
on x=-23..22,y=-34..11,z=-38..12
off x=-24..-15,y=26..39,z=-18..-9
on x=-23..22,y=-31..20,z=-38..13
off x=-16..-6,y=7..19,z=-44..-30
on x=-8..45,y=-18..28,z=-27..18
off x=-24..-8,y=-3..7,z=33..45
on x=-28..18,y=-15..39,z=-18..35
on x=52706..68579,y=-51721..-24984,z=-29134..-4745
on x=19158..43390,y=48482..62915,z=36278..51760
on x=33529..54535,y=41410..44729,z=35536..62066
on x=39279..54831,y=-54196..-35294,z=-46321..-19146
on x=-49951..-33034,y=-75783..-65241,z=-32974..-9141
on x=16267..33862,y=32962..38520,z=55102..80003
on x=28231..33305,y=-13203..11551,z=-82121..-71765
on x=-3880..15012,y=-97354..-71276,z=-32509..-10704
on x=-59644..-43923,y=-56932..-39976,z=-46680..-24924
on x=-22171..6559,y=59909..65127,z=51012..71854
on x=-35278..-11377,y=-90913..-54535,z=15441..29860
on x=42440..47504,y=-77130..-54916,z=-5117..22780
on x=-23382..-925,y=-96268..-67199,z=-1408..16864
on x=46073..66555,y=2178..6843,z=-72379..-46993
on x=-7367..16256,y=27822..35444,z=-81222..-57262
on x=70121..85076,y=-2405..20765,z=-25162..-6383
on x=-38188..-8731,y=303..24311,z=-85237..-74901
on x=9308..35679,y=72560..89334,z=-12862..6802
on x=19088..20550,y=-54261..-29941,z=-66813..-56094
on x=58563..67361,y=32116..50251,z=-40547..-22471
on x=63946..72885,y=-45525..-32975,z=6297..33150
on x=35523..45582,y=-46123..-39187,z=-62601..-55854
on x=-45263..-16076,y=66141..71305,z=24152..51511
on x=-56833..-39277,y=-61785..-39127,z=20400..30866
on x=-64099..-47168,y=-14802..-10218,z=59578..78286
on x=54485..79540,y=-9884..13564,z=-33614..-29502
on x=-56136..-41543,y=40175..50868,z=18766..46233
on x=-29888..-22443,y=56778..79471,z=19514..30387
on x=57940..83198,y=4819..24637,z=-36050..-14367
on x=-35953..-18054,y=-92305..-62464,z=-24944..433
on x=66547..83499,y=14135..24578,z=33083..41247
on x=23558..38387,y=64415..73072,z=-28114..-14640
on x=-13398..25438,y=-78327..-54021,z=32535..47622
on x=59279..70463,y=-48832..-12639,z=18768..30270
on x=-34289..-32327,y=35546..59245,z=55554..73170
on x=15715..29890,y=-84334..-64420,z=12788..32323
on x=-38593..-17951,y=-24585..-12831,z=-84437..-70981
on x=-81422..-51852,y=-44476..-32475,z=-32716..-22730
on x=-5856..25405,y=22130..39071,z=-84393..-56966
on x=5807..22366,y=-82846..-62290,z=17828..22587
on x=40912..63282,y=7257..37789,z=-67351..-34269
on x=-60312..-52700,y=17308..35727,z=32687..57593
on x=10748..21594,y=33001..48676,z=-71306..-63061
on x=-67665..-47017,y=-76167..-51735,z=-13297..-8021
on x=3312..26580,y=-35665..1379,z=-82617..-69610
on x=35278..52989,y=25977..48545,z=55789..71242
on x=17649..50914,y=-77065..-64303,z=-32515..-3058
on x=55174..70296,y=-63489..-51834,z=-20117..3614
on x=21633..36099,y=-56734..-43497,z=42283..51140
on x=32220..54369,y=48382..79084,z=-38669..-15641
on x=-41133..-21130,y=-43943..-12508,z=-72464..-67577
on x=1841..14519,y=34565..69226,z=58731..72943
on x=-81410..-71020,y=-41070..-11211,z=-25653..-2929
on x=54878..79738,y=37397..60247,z=-29325..-413
on x=-60358..-43018,y=-65054..-60356,z=991..20784
on x=-73582..-57508,y=31733..47988,z=-185..25415
on x=-8304..-1150,y=-81827..-65189,z=31671..57958
on x=-76108..-70108,y=20214..27537,z=-16291..3825
on x=15838..47053,y=-82389..-54043,z=3683..28928
on x=33142..48892,y=-69396..-53597,z=10868..36599
on x=-38048..-10804,y=-52011..-36488,z=51368..69373
on x=-4568..12859,y=-45556..-29570,z=-81370..-56776
on x=-16514..1528,y=-72602..-60172,z=-49767..-15535
on x=53082..91975,y=-5166..3133,z=22143..45433
on x=-88733..-57149,y=-41214..-19757,z=-22443..12286
on x=46893..68079,y=-50078..-29688,z=-39574..-23241
on x=-75085..-43624,y=16715..41482,z=-56327..-32898
on x=-76474..-45397,y=-64897..-52688,z=-20583..9143
on x=-19957..-2573,y=-59234..-31642,z=-79358..-61082
on x=26667..54887,y=-48864..-21382,z=47058..75678
on x=-44122..-16611,y=38155..71045,z=31473..49769
on x=-33391..-25134,y=-28005..-19241,z=51281..71668
on x=-87044..-63854,y=-23392..-7146,z=-2434..12126
on x=-591..19282,y=49600..86073,z=-55053..-37283
on x=-49830..-25077,y=45107..64739,z=-42830..-39577
on x=-11624..9796,y=-69135..-58118,z=-60400..-46121
on x=-45799..-24612,y=-62524..-47519,z=-37426..-28681
on x=34798..65120,y=26496..42571,z=41925..56566
on x=66112..68536,y=36258..50828,z=-1591..13570
on x=-15520..17879,y=72198..76196,z=23426..37175
on x=-39470..-24249,y=-82394..-63435,z=-20694..-7322
on x=-51300..-19607,y=23582..45094,z=49327..75939
on x=-40352..-26133,y=44295..65777,z=-60202..-38106
on x=3094..9439,y=-7619..7072,z=-94190..-71205
on x=70662..76847,y=32659..50544,z=-16957..-5542
on x=76282..96199,y=-26320..7056,z=-18269..10065
on x=-76248..-56030,y=23305..44186,z=-27243..-2017
on x=37045..57820,y=59279..72594,z=-5542..20408
on x=-44346..-20543,y=-87528..-58656,z=-35428..-2530
on x=37275..59953,y=-13753..2122,z=-74562..-53204
on x=52620..86557,y=23965..51715,z=-9509..-3827
on x=35795..63942,y=-46269..-22225,z=-54424..-31197
on x=-59544..-33767,y=9103..43984,z=-75618..-48873
on x=48874..58442,y=-77723..-42490,z=-14491..-11057
on x=37993..45421,y=60275..85636,z=-30638..4194
on x=54414..87440,y=7165..14487,z=21373..49667
on x=-31071..-8516,y=-63048..-54694,z=48010..53504
on x=37842..60715,y=-72053..-51698,z=-19271..-12587
on x=-44461..-12953,y=-33140..-19148,z=65167..75808
on x=-25510..2687,y=-55779..-24569,z=-69951..-46736
on x=-58173..-28520,y=-54375..-34513,z=-67610..-42556
on x=49497..80937,y=22263..43733,z=-42858..-17317
on x=-77801..-62492,y=-18176..-2842,z=16740..31884
on x=-40193..-19152,y=-32522..2707,z=-79663..-66600
on x=-50373..-23703,y=-46038..-12247,z=52074..71463
on x=52388..77469,y=-31867..-443,z=-50390..-36826
on x=-88034..-68737,y=-23143..-10464,z=-36065..-16663
on x=-65232..-53363,y=-17477..5073,z=38324..58181
on x=30925..53428,y=175..8144,z=57953..85443
on x=-49373..-38200,y=-311..6146,z=-77273..-48532
on x=32384..60171,y=53267..59287,z=12544..43012
on x=-48309..-24591,y=69828..73698,z=-21642..-5616
on x=-28570..-845,y=-24614..-5964,z=75229..91783
on x=-84432..-51564,y=-17335..-10501,z=-41225..-31395
on x=26592..43310,y=59225..62145,z=-45690..-22050
on x=4610..29014,y=65924..77350,z=-42917..-26623
on x=7145..20907,y=59641..72450,z=33512..51351
on x=-7362..2555,y=66424..85969,z=-34868..-15252
on x=-67112..-48950,y=-34742..-29850,z=33549..51770
on x=5116..24556,y=-77258..-53349,z=-59199..-49610
on x=-5223..12832,y=-85767..-62154,z=-63137..-25288
on x=-57402..-38394,y=23575..43849,z=49017..68715
on x=-5769..-3315,y=39128..68183,z=-71021..-52847
on x=6932..24244,y=30420..51629,z=55953..65526
